X-9.5026 Y77.3997 Z30.6554
X-9.4779 Y77.4184 Z30.6275
X-9.3061 Y77.5433 Z30.4248
X-8.8369 Y77.8365 Z29.8076
X-7.9021 Y78.2473 Z28.3402
X-6.3064 Y78.5479 Z25.2946
X-3.8440 Y78.3370 Z19.8615
X-0.3400 Y77.1689 Z12.0395
X4.2897 Y74.7860 Z3.6947
X9.9422 Y71.2993 Z-2.3183
X16.2007 Y67.1472 Z-4.6499
X22.3145 Y62.8630 Z-3.9778
X27.4360 Y58.8513 Z-1.7387
X30.9989 Y55.3358 Z0.8467
X32.9407 Y52.4345 Z3.0785
X33.6300 Y50.2109 Z4.7157
X33.6092 Y48.6591 Z5.7860
X33.3493 Y47.6976 Z6.4142
X33.1272 Y47.1970 Z6.7305
X33.0274 Y47.0102 Z6.8467
X33.0122 Y46.9833 Z6.8634
