X8.3275 Y72.8525 Z56.4055
X8.3436 Y72.7819 Z56.3182
X8.4561 Y72.2984 Z55.7227
X8.7685 Y71.0446 Z54.2072
X9.4115 Y68.7790 Z51.5765
X10.5660 Y65.4179 Z47.9422
X12.4685 Y61.0386 Z43.7177
X15.3816 Y55.8507 Z39.5033
X19.5258 Y50.1553 Z35.9101
X24.9827 Y44.3080 Z33.3946
X31.6130 Y38.6838 Z32.1680
X39.0424 Y33.6343 Z32.1937
X46.7367 Y29.4332 Z33.2464
X54.1270 Y26.2236 Z34.9909
X60.7180 Y23.9931 Z37.0531
X66.1498 Y22.5945 Z39.0786
X70.2250 Y21.8077 Z40.7835
X72.9221 Y21.4121 Z41.9980
X74.3966 Y21.2383 Z42.6909
X74.9617 Y21.1797 Z42.9618
X75.0440 Y21.1715 Z43.0015
