X-9.5026 Y77.3997 Z30.6554
X-9.4831 Y77.3605 Z30.5635
X-9.3484 Y77.0917 Z29.9365
X-8.9878 Y76.3923 Z28.3350
X-8.2931 Y75.1204 Z25.5385
X-7.1554 Y73.2183 Z21.6509
X-5.4674 Y70.7221 Z17.1136
X-3.1383 Y67.7529 Z12.5769
X-0.1212 Y64.4941 Z8.6686
X3.5555 Y61.1598 Z5.7906
X7.7671 Y57.9626 Z4.0509
X12.2958 Y55.0836 Z3.3250
X16.8611 Y52.6489 Z3.3640
X21.1690 Y50.7169 Z3.8857
X24.9601 Y49.2801 Z4.6312
X28.0475 Y48.2809 Z5.3951
X30.3382 Y47.6354 Z6.0390
X31.8399 Y47.2558 Z6.4928
X32.6555 Y47.0640 Z6.7492
X32.9669 Y46.9934 Z6.8488
X33.0122 Y46.9833 Z6.8634
