X54.7834 Y-1.9531 Z23.3279
X54.7424 Y-2.0126 Z23.2917
X54.4541 Y-2.4156 Z23.0421
X53.6483 Y-3.4166 Z22.3838
X51.9677 Y-5.0323 Z21.1570
X48.9007 Y-6.8281 Z19.2695
X43.7904 Y-7.6896 Z16.7792
X36.0520 Y-5.8319 Z14.0758
X25.7894 Y0.3970 Z12.1400
X14.7514 Y10.9945 Z12.6211
X6.2867 Y23.9799 Z17.1377
X2.7859 Y36.9629 Z25.7382
X3.7718 Y48.3549 Z36.3618
X7.2595 Y57.4083 Z46.3980
X11.4510 Y63.9473 Z54.2361
X15.2433 Y68.2063 Z59.5018
X18.1401 Y70.6924 Z62.6083
X20.0410 Y71.9890 Z64.2341
X21.0672 Y72.5779 Z64.9739
X21.4573 Y72.7810 Z65.2293
X21.5140 Y72.8096 Z65.2652
