X54.7834 Y-1.9531 Z23.3279
X54.7277 Y-1.8904 Z23.3220
X54.3446 Y-1.4595 Z23.2831
X53.3451 Y-0.3299 Z23.1935
X51.5191 Y1.7550 Z23.0756
X48.7747 Y4.9465 Z23.0165
X45.1670 Y9.2703 Z23.1798
X40.9105 Y14.6261 Z23.7932
X36.3592 Y20.8108 Z25.1105
X31.9452 Y27.5608 Z27.3538
X28.0798 Y34.5934 Z30.6470
X25.0506 Y41.6343 Z34.9598
X22.9622 Y48.4260 Z40.0827
X21.7430 Y54.7255 Z45.6445
X21.2005 Y60.3021 Z51.1677
X21.0942 Y64.9454 Z56.1516
X21.1994 Y68.4954 Z60.1705
X21.3509 Y70.8913 Z62.9735
X21.4602 Y72.2209 Z64.5576
X21.5070 Y72.7346 Z65.1748
X21.5140 Y72.8096 Z65.2652
