X36.8203 Y78.5275 Z15.4016
X36.7233 Y78.5140 Z15.4157
X36.0554 Y78.4208 Z15.5165
X34.2971 Y78.1760 Z15.8153
X31.0309 Y77.7212 Z16.5029
X26.0049 Y77.0111 Z17.9084
X19.2240 Y75.9846 Z20.4657
X11.0448 Y74.4811 Z24.3755
X2.2184 Y72.1295 Z28.8546
X-6.1560 Y68.3633 Z31.8091
X-12.7331 Y62.7544 Z31.1975
X-16.0770 Y55.5345 Z26.8257
X-15.1023 Y47.7699 Z20.4812
X-9.9522 Y40.8855 Z14.5506
X-2.4087 Y35.9011 Z10.4290
X5.1851 Y32.9958 Z8.1494
X11.2751 Y31.6696 Z7.1030
X15.3504 Y31.2233 Z6.6958
X17.5664 Y31.1269 Z6.5603
X18.4109 Y31.1176 Z6.5236
X18.5336 Y31.1175 Z6.5189
