X36.8203 Y78.5275 Z15.4016
X36.7984 Y78.4882 Z15.3809
X36.6483 Y78.2174 Z15.2389
X36.2576 Y77.5082 Z14.8726
X35.5465 Y76.2012 Z14.2180
X34.4817 Y74.2016 Z13.2682
X33.0810 Y71.4869 Z12.0778
X31.4085 Y68.1033 Z10.7528
X29.5606 Y64.1545 Z9.4255
X27.6490 Y59.7887 Z8.2263
X25.7843 Y55.1866 Z7.2568
X24.0615 Y50.5497 Z6.5724
X22.5518 Y46.0890 Z6.1763
X21.2969 Y42.0084 Z6.0260
X20.3098 Y38.4848 Z6.0492
X19.5795 Y35.6462 Z6.1653
X19.0777 Y33.5524 Z6.3038
X18.7667 Y32.1839 Z6.4177
X18.6037 Y31.4419 Z6.4870
X18.5425 Y31.1587 Z6.5148
X18.5336 Y31.1175 Z6.5189
