X78.8084 Y24.9534 Z36.2703
X78.7702 Y24.9127 Z36.2851
X78.5085 Y24.6353 Z36.3883
X77.8277 Y23.9292 Z36.6666
X76.5904 Y22.7035 Z37.2104
X74.7412 Y21.0113 Z38.1194
X72.3159 Y19.0477 Z39.5005
X69.4326 Y17.0982 Z41.4535
X66.2703 Y15.4572 Z44.0437
X63.0416 Y14.3518 Z47.2712
X59.9647 Y13.8949 Z51.0495
X57.2336 Y14.0756 Z55.2021
X54.9916 Y14.7798 Z59.4834
X53.3073 Y15.8262 Z63.6158
X52.1660 Y17.0088 Z67.3332
X51.4799 Y18.1357 Z70.4219
X51.1200 Y19.0615 Z72.7523
X50.9570 Y19.7088 Z74.2993
X50.8937 Y20.0735 Z75.1461
X50.8744 Y20.2153 Z75.4708
X50.8718 Y20.2360 Z75.5180
