X61.2054 Y23.1905 Z35.3407
X61.2343 Y23.2369 Z35.3741
X61.4316 Y23.5542 Z35.6072
X61.9354 Y24.3679 Z36.2435
X62.8127 Y25.7965 Z37.5102
X64.0195 Y27.7816 Z39.6655
X65.3825 Y30.0470 Z42.9560
X66.6293 Y32.1446 Z47.5157
X67.4758 Y33.6206 Z53.2422
X67.7262 Y34.2087 Z59.7100
X67.2986 Y33.8874 Z66.1794
X66.1503 Y32.7733 Z71.7532
X64.2373 Y31.0152 Z75.6935
X61.6375 Y28.8087 Z77.7503
X58.6862 Y26.4379 Z78.2306
X55.8774 Y24.2290 Z77.7532
X53.6177 Y22.4464 Z76.9335
X52.0841 Y21.2204 Z76.1966
X51.2415 Y20.5379 Z75.7338
X50.9187 Y20.2744 Z75.5459
X50.8718 Y20.2360 Z75.5180
