X61.2054 Y23.1905 Z35.3407
X61.1850 Y23.1698 Z35.3651
X61.0450 Y23.0279 Z35.5331
X60.6811 Y22.6643 Z35.9780
X60.0203 Y22.0236 Z36.8161
X59.0364 Y21.1178 Z38.1428
X57.7572 Y20.0316 Z40.0268
X56.2635 Y18.9063 Z42.5005
X54.6778 Y17.9048 Z45.5485
X53.1449 Y17.1701 Z49.0974
X51.8079 Y16.7921 Z53.0133
X50.7821 Y16.7905 Z57.1114
X50.1318 Y17.1175 Z61.1750
X49.8555 Y17.6751 Z64.9820
X49.8861 Y18.3402 Z68.3317
X50.1090 Y18.9924 Z71.0708
X50.3962 Y19.5370 Z73.1147
X50.6440 Y19.9213 Z74.4618
X50.7992 Y20.1389 Z75.1962
X50.8624 Y20.2236 Z75.4772
X50.8718 Y20.2360 Z75.5180
