X52.0536 Y70.9552 Z54.8771
X52.0423 Y70.9010 Z54.8705
X51.9657 Y70.5290 Z54.8262
X51.7738 Y69.5594 Z54.7214
X51.4537 Y67.7905 Z54.5701
X51.0483 Y65.1284 Z54.4395
X50.6623 Y61.5971 Z54.4482
X50.4500 Y57.3280 Z54.7400
X50.5872 Y52.5358 Z55.4459
X51.2346 Y47.4884 Z56.6472
X52.4979 Y42.4741 Z58.3520
X54.3933 Y37.7653 Z60.4890
X56.8255 Y33.5826 Z62.9164
X59.5900 Y30.0699 Z65.4435
X62.4048 Y27.2855 Z67.8594
X64.9698 Y25.2128 Z69.9670
X67.0368 Y23.7820 Z71.6180
X68.4702 Y22.8919 Z72.7435
X69.2753 Y22.4241 Z73.3698
X69.5878 Y22.2483 Z73.6119
X69.6334 Y22.2229 Z73.6473
