X76.3034 Y22.5046 Z73.9048
X76.1915 Y22.5138 Z73.8396
X75.4249 Y22.5797 Z73.3952
X73.4426 Y22.7697 Z72.2647
X69.8793 Y23.1860 Z70.2976
X64.6354 Y23.9863 Z67.5424
X57.8860 Y25.3819 Z64.2198
X50.0432 Y27.6009 Z60.6542
X41.6982 Y30.8235 Z57.2105
X33.5348 Y35.1110 Z54.2511
X26.2028 Y40.3578 Z52.1008
X20.1741 Y46.2926 Z51.0070
X15.6482 Y52.5279 Z51.0881
X12.5555 Y58.6321 Z52.2806
X10.6414 Y64.1960 Z54.3138
X9.5766 Y68.8827 Z56.7432
X9.0487 Y72.4683 Z59.0593
X8.8170 Y74.8778 Z60.8453
X8.7277 Y76.2083 Z61.9123
X8.7002 Y76.7209 Z62.3389
X8.6965 Y76.7956 Z62.4019
