X26.5003 Y38.9057 Z44.9663
X26.5153 Y38.9088 Z44.9645
X26.6182 Y38.9303 Z44.9522
X26.8885 Y38.9872 Z44.9203
X27.3887 Y39.0945 Z44.8634
X28.1584 Y39.2652 Z44.7811
X29.2101 Y39.5092 Z44.6789
X30.5285 Y39.8329 Z44.5676
X32.0719 Y40.2372 Z44.4613
X33.7770 Y40.7162 Z44.3742
X35.5655 Y41.2558 Z44.3172
X37.3512 Y41.8330 Z44.2955
X39.0490 Y42.4179 Z44.3076
X40.5818 Y42.9766 Z44.3460
X41.8884 Y43.4760 Z44.3992
X42.9292 Y43.8892 Z44.4552
X43.6900 Y44.1999 Z44.5036
X44.1841 Y44.4057 Z44.5385
X44.4510 Y44.5181 Z44.5585
X44.5527 Y44.5612 Z44.5663
X44.5675 Y44.5675 Z44.5675
