X26.5003 Y38.9057 Z44.9663
X26.4993 Y38.9201 Z44.9660
X26.4939 Y39.0198 Z44.9633
X26.4940 Y39.2841 Z44.9554
X26.5488 Y39.7825 Z44.9371
X26.7699 Y40.5661 Z44.9001
X27.3306 Y41.6489 Z44.8342
X28.4215 Y42.9830 Z44.7334
X30.1634 Y44.4412 Z44.6057
X32.5156 Y45.8281 Z44.4779
X35.2437 Y46.9266 Z44.3859
X37.9830 Y47.5650 Z44.3526
X40.3727 Y47.6789 Z44.3729
X42.1847 Y47.3369 Z44.4218
X43.3755 Y46.7108 Z44.4736
X44.0496 Y46.0040 Z44.5144
X44.3751 Y45.3816 Z44.5412
X44.5078 Y44.9348 Z44.5567
X44.5534 Y44.6808 Z44.5643
X44.5659 Y44.5819 Z44.5671
X44.5675 Y44.5675 Z44.5675
