X44.9946 Y44.9946 Z44.9946
X44.9106 Y44.9047 Z44.8975
X44.3335 Y44.2884 Z44.2328
X42.8314 Y42.6888 Z42.5183
X40.0963 Y39.7990 Z39.4616
X35.9930 Y35.5395 Z35.0631
X30.5766 Y30.1253 Z29.6977
X24.0905 Y24.1313 Z24.1657
X16.9965 Y18.5379 Z19.6790
X10.1132 Y14.6290 Z17.6428
X4.7797 Y13.5211 Z19.0480
X2.5274 Y15.4813 Z23.7367
X4.0013 Y19.7937 Z30.4589
X8.3768 Y25.3173 Z37.7616
X14.0759 Y31.0068 Z44.6012
X19.6759 Y36.0919 Z50.3681
X24.2652 Y40.0948 Z54.7539
X27.4420 Y42.8198 Z57.6833
X29.2174 Y44.3328 Z59.2944
X29.9042 Y44.9168 Z59.9138
X30.0045 Y45.0020 Z60.0040
