X44.9946 Y44.9946 Z44.9946
X44.9813 Y44.9917 Z45.0047
X44.8892 Y44.9715 Z45.0738
X44.6479 Y44.9197 Z45.2562
X44.2025 Y44.8283 Z45.5975
X43.5200 Y44.6986 Z46.1319
X42.5933 Y44.5430 Z46.8802
X41.4416 Y44.3830 Z47.8475
X40.1077 Y44.2445 Z49.0206
X38.6531 Y44.1523 Z50.3668
X37.1503 Y44.1233 Z51.8340
X35.6747 Y44.1627 Z53.3535
X34.2965 Y44.2628 Z54.8468
X33.0744 Y44.4051 Z56.2343
X32.0501 Y44.5649 Z57.4451
X31.2465 Y44.7173 Z58.4273
X30.6661 Y44.8427 Z59.1550
X30.2925 Y44.9305 Z59.6318
X30.0918 Y44.9799 Z59.8907
X30.0156 Y44.9992 Z59.9896
X30.0045 Y45.0020 Z60.0040
