X42.9970 Y31.6020 Z64.6948
X42.8676 Y31.5183 Z64.6008
X41.9813 Y30.9464 Z63.9546
X39.6915 Y29.4783 Z62.2607
X35.5996 Y26.8876 Z59.1245
X29.7158 Y23.2292 Z54.2582
X22.6598 Y18.9162 Z47.4452
X15.8935 Y14.7792 Z38.5318
X11.6922 Y12.0926 Z27.6304
X12.1607 Y12.3926 Z15.8079
X17.5213 Y16.6991 Z5.8966
X25.9444 Y24.4253 Z1.2903
X35.2734 Y33.6340 Z2.7777
X44.1544 Y42.5692 Z8.3629
X51.9516 Y50.3403 Z15.5487
X58.3696 Y56.6273 Z22.5116
X63.2499 Y61.3363 Z28.1878
X66.5461 Y64.4847 Z32.1192
X68.3816 Y66.2279 Z34.3216
X69.0928 Y66.9016 Z35.1752
X69.1967 Y67.0000 Z35.2999
