X69.4083 Y28.6427 Z10.1475
X69.3373 Y28.6336 Z10.1270
X68.8493 Y28.5749 Z9.9877
X67.5726 Y28.4486 Z9.6348
X65.2256 Y28.3159 Z9.0305
X61.6515 Y28.3459 Z8.2259
X56.8370 Y28.7912 Z7.3791
X50.9166 Y29.9103 Z6.7508
X44.1660 Y31.8797 Z6.6779
X36.9862 Y34.7359 Z7.5217
X29.8634 Y38.3690 Z9.5885
X23.2899 Y42.5548 Z13.0262
X17.6587 Y47.0019 Z17.7242
X13.1798 Y51.3951 Z23.2757
X9.8635 Y55.4313 Z29.0488
X7.5721 Y58.8528 Z34.3543
X6.0994 Y61.4811 Z38.6345
X5.2357 Y63.2511 Z41.5968
X4.7997 Y64.2293 Z43.2568
X4.6393 Y64.6062 Z43.9002
X4.6162 Y64.6612 Z43.9942
