X72.6874 Y22.6201 Z19.3498
X72.6632 Y22.5192 Z19.3672
X72.4921 Y21.8257 Z19.4848
X72.0017 Y20.0179 Z19.7743
X70.9364 Y16.7423 Z20.2356
X68.9000 Y11.9766 Z20.7560
X65.3476 Y6.2546 Z21.1029
X59.6672 Y0.8019 Z20.9869
X51.3754 Y-2.6680 Z20.1890
X40.4922 Y-2.5754 Z18.6749
X28.1396 Y1.6994 Z16.5929
X16.8328 Y9.3048 Z14.1569
X9.2122 Y18.3281 Z11.5376
X6.0060 Y26.8876 Z8.8771
X6.0169 Y33.8815 Z6.3696
X7.5765 Y39.0069 Z4.2479
X9.4373 Y42.4310 Z2.6709
X10.9217 Y44.4933 Z1.6584
X11.8037 Y45.5522 Z1.1214
X12.1534 Y45.9453 Z0.9194
X12.2048 Y46.0019 Z0.8902
