X15.6071 Y22.4002 Z67.6009
X15.5896 Y22.4022 Z67.5349
X15.4726 Y22.4180 Z67.0815
X15.1926 Y22.4735 Z65.8944
X14.7732 Y22.6300 Z63.7081
X14.3603 Y23.0077 Z60.3680
X14.2055 Y23.7951 Z55.8433
X14.5952 Y25.2307 Z50.2271
X15.7586 Y27.5554 Z43.7292
X17.7983 Y30.9393 Z36.6690
X20.6670 Y35.4028 Z29.4611
X24.1865 Y40.7660 Z22.5735
X28.0904 Y46.6576 Z16.4452
X32.0687 Y52.5906 Z11.3863
X35.8085 Y58.0709 Z7.5139
X39.0330 Y62.6947 Z4.7637
X41.5406 Y66.2128 Z2.9582
X43.2434 Y68.5583 Z1.8832
X44.1892 Y69.8450 Z1.3354
X44.5545 Y70.3387 Z1.1329
X44.6079 Y70.4106 Z1.1038
