X48.9571 Y41.7853 Z69.5003
X48.9134 Y41.7826 Z69.4348
X48.6157 Y41.7655 Z68.9847
X47.8585 Y41.7329 Z67.8117
X46.5454 Y41.7194 Z65.6705
X44.7328 Y41.8156 Z62.4400
X42.6265 Y42.1734 Z58.1261
X40.5277 Y42.9864 Z52.8400
X38.7546 Y44.4486 Z46.7702
X37.5684 Y46.6990 Z40.1619
X37.1206 Y49.7664 Z33.3061
X37.4314 Y53.5331 Z26.5295
X38.3960 Y57.7383 Z20.1706
X39.8144 Y62.0262 Z14.5369
X41.4345 Y66.0230 Z9.8542
X43.0018 Y69.4153 Z6.2319
X44.3084 Y72.0046 Z3.6591
X45.2327 Y73.7333 Z2.0277
X45.7575 Y74.6820 Z1.1606
X45.9622 Y75.0461 Z0.8331
X45.9922 Y75.0991 Z0.7856
