X48.9571 Y41.7853 Z69.5003
X48.8770 Y41.6864 Z69.4346
X48.3248 Y41.0078 Z68.9800
X46.8638 Y39.2452 Z67.7665
X44.1213 Y36.0585 Z65.4407
X39.8322 Y31.3661 Z61.6481
X33.9439 Y25.4447 Z56.0116
X26.8391 Y19.0513 Z48.1224
X19.6658 Y13.5938 Z37.5868
X14.4444 Y11.2690 Z24.2662
X13.1712 Y14.5717 Z9.0000
X16.1444 Y24.1358 Z-5.3069
X21.7871 Y36.9597 Z-14.4236
X28.1706 Y49.1217 Z-16.6664
X34.0150 Y58.7463 Z-14.0701
X38.7233 Y65.6511 Z-9.5590
X42.1325 Y70.2484 Z-5.1746
X44.3172 Y73.0373 Z-1.9240
X45.4854 Y74.4819 Z-0.0536
X45.9280 Y75.0212 Z0.6784
X45.9922 Y75.0991 Z0.7856
