X41.1362 Y72.0618 Z77.3264
X41.0322 Y71.9454 Z77.2489
X40.3188 Y71.1476 Z76.7158
X38.4617 Y69.0783 Z75.3205
X35.0877 Y65.3289 Z72.7372
X30.0767 Y59.7195 Z68.7097
X23.6734 Y52.2948 Z62.9934
X16.6541 Y43.3247 Z55.3054
X10.5512 Y33.3721 Z45.3464
X7.6968 Y23.4673 Z33.0166
X10.2637 Y15.3629 Z19.0182
X18.0465 Y11.5553 Z5.6219
X28.1446 Y14.1219 Z-4.0294
X37.7347 Y22.3230 Z-8.5636
X45.5529 Y32.6398 Z-9.1380
X51.3849 Y41.9157 Z-7.6940
X55.4119 Y48.8213 Z-5.7310
X57.9247 Y53.2497 Z-4.0955
X59.2503 Y55.6066 Z-3.1034
X59.7496 Y56.4967 Z-2.7063
X59.8219 Y56.6256 Z-2.6477
