X69.8630 Y18.4089 Z77.3870
X69.8747 Y18.3971 Z77.3765
X69.9463 Y18.3176 Z77.2964
X70.0612 Y18.1252 Z77.0267
X70.0001 Y17.8335 Z76.3023
X69.2585 Y17.5669 Z74.6378
X67.1809 Y17.6344 Z71.3977
X63.4160 Y18.6368 Z66.1029
X58.4217 Y21.5178 Z58.8432
X53.4594 Y27.2825 Z50.4733
X49.8830 Y36.1732 Z42.4152
X48.2837 Y46.9402 Z36.1071
X48.2560 Y57.3839 Z32.3265
X48.8803 Y65.7251 Z30.8803
X49.3811 Y71.3082 Z30.9381
X49.4687 Y74.4375 Z31.6288
X49.2534 Y75.8840 Z32.3860
X48.9653 Y76.4214 Z32.9572
X48.7590 Y76.5778 Z33.2854
X48.6710 Y76.6126 Z33.4134
X48.6578 Y76.6165 Z33.4322
