X63.4944 Y79.0696 Z47.1208
X63.4505 Y79.0298 Z47.1190
X63.1491 Y78.7572 Z47.1077
X62.3654 Y78.0535 Z47.0837
X60.9414 Y76.7944 Z47.0613
X58.8098 Y74.9578 Z47.0811
X55.9968 Y72.6253 Z47.2115
X52.6044 Y69.9562 Z47.5375
X48.7842 Y67.1482 Z48.1399
X44.7135 Y64.3981 Z49.0714
X40.5776 Y61.8721 Z50.3365
X36.5575 Y59.6871 Z51.8811
X32.8197 Y57.9032 Z53.5985
X29.5056 Y56.5272 Z55.3469
X26.7216 Y55.5244 Z56.9780
X24.5294 Y54.8353 Z58.3652
X22.9407 Y54.3923 Z59.4263
X21.9152 Y54.1318 Z60.1360
X21.3632 Y53.9999 Z60.5260
X21.1533 Y53.9513 Z60.6757
X21.1229 Y53.9443 Z60.6975
