X63.4944 Y79.0696 Z47.1208
X63.4302 Y78.9940 Z47.0124
X62.9880 Y78.4759 Z46.2702
X61.8287 Y77.1334 Z44.3529
X59.6845 Y74.7062 Z40.9214
X56.3768 Y71.0899 Z35.9407
X51.8147 Y66.3363 Z29.7565
X45.9914 Y60.6607 Z23.1487
X39.0179 Y54.4951 Z17.3590
X31.2413 Y48.5668 Z14.0011
X23.4344 Y43.8560 Z14.6047
X16.8433 Y41.2426 Z19.6189
X12.7348 Y40.9984 Z27.7046
X11.5855 Y42.6521 Z36.6057
X12.7831 Y45.3417 Z44.6142
X15.1490 Y48.2297 Z50.9738
X17.6074 Y50.7161 Z55.5406
X19.5031 Y52.4881 Z58.4593
X20.6177 Y53.4946 Z60.0200
X21.0581 Y53.8869 Z60.6117
X21.1229 Y53.9443 Z60.6975
