X29.7816 Y46.7916 Z44.6895
X29.7691 Y46.7750 Z44.6737
X29.6828 Y46.6611 Z44.5652
X29.4567 Y46.3624 Z44.2808
X29.0398 Y45.8106 Z43.7567
X28.4021 Y44.9636 Z42.9555
X27.5378 Y43.8101 Z41.8707
X26.4655 Y42.3694 Z40.5264
X25.2253 Y40.6886 Z38.9734
X23.8730 Y38.8367 Z37.2822
X22.4739 Y36.8975 Z35.5343
X21.0955 Y34.9618 Z33.8143
X19.8019 Y33.1201 Z32.2014
X18.6474 Y31.4543 Z30.7631
X17.6732 Y30.0311 Z29.5503
X16.9037 Y28.8948 Z28.5928
X16.3447 Y28.0624 Z27.8976
X15.9833 Y27.5210 Z27.4482
X15.7886 Y27.2282 Z27.2061
X15.7145 Y27.1166 Z27.1141
X15.7038 Y27.1003 Z27.1007
