X65.9988 Y72.2647 Z41.6564
X65.9697 Y72.2593 Z41.6598
X65.7704 Y72.2222 Z41.6835
X65.2498 Y72.1299 Z41.7493
X64.2953 Y71.9773 Z41.8854
X62.8488 Y71.7874 Z42.1312
X60.9140 Y71.6123 Z42.5396
X58.5539 Y71.5235 Z43.1725
X55.8794 Y71.5942 Z44.0895
X53.0318 Y71.8795 Z45.3319
X50.1645 Y72.4018 Z46.9054
X47.4234 Y73.1429 Z48.7666
X44.9322 Y74.0468 Z50.8187
X42.7813 Y75.0286 Z52.9205
X41.0235 Y75.9906 Z54.9078
X39.6743 Y76.8406 Z56.6252
X38.7172 Y77.5099 Z57.9589
X38.1091 Y77.9668 Z58.8615
X37.7850 Y78.2210 Z59.3613
X37.6624 Y78.3192 Z59.5539
X37.6446 Y78.3335 Z59.5820
