X55.9293 Y65.6093 Z29.8686
X55.9105 Y65.5767 Z29.8152
X55.7788 Y65.3511 Z29.4482
X55.4188 Y64.7479 Z28.4872
X54.6987 Y63.5934 Z26.7229
X53.4631 Y61.7336 Z24.0657
X51.5481 Y59.0722 Z20.6110
X48.8281 Y55.6386 Z16.7030
X45.2820 Y51.6704 Z12.9569
X41.0683 Y47.6594 Z10.1826
X36.5838 Y44.2820 Z9.1647
X32.4379 Y42.1525 Z10.3146
X29.2591 Y41.5166 Z13.3849
X27.3947 Y42.1468 Z17.5482
X26.7523 Y43.5234 Z21.8345
X26.9213 Y45.1036 Z25.5331
X27.4289 Y46.4915 Z28.3071
X27.9271 Y47.4841 Z30.1129
X28.2493 Y48.0469 Z31.0841
X28.3816 Y48.2659 Z31.4527
X28.4013 Y48.2980 Z31.5062
