X44.2974 Y23.4072 Z76.2047
X44.2177 Y23.4039 Z76.1368
X43.6748 Y23.3830 Z75.6712
X42.2906 Y23.3409 Z74.4598
X39.8769 Y23.3114 Z72.2558
X36.5065 Y23.3883 Z68.9467
X32.5015 Y23.7334 Z64.5527
X28.3398 Y24.5586 Z59.1977
X24.5260 Y26.0841 Z53.0724
X21.4727 Y28.4760 Z46.4086
X19.4214 Y31.7786 Z39.4684
X18.4167 Y35.8663 Z32.5414
X18.3301 Y40.4449 Z25.9369
X18.9155 Y45.1104 Z19.9607
X19.8778 Y49.4446 Z14.8735
X20.9346 Y53.1063 Z10.8455
X21.8654 Y55.8885 Z7.9273
X22.5403 Y57.7392 Z6.0494
X22.9279 Y58.7523 Z5.0421
X23.0797 Y59.1406 Z4.6598
X23.1020 Y59.1972 Z4.6043
