X47.5785 Y58.3058 Z-5.7722
X47.5288 Y58.2321 Z-5.7397
X47.1877 Y57.7261 Z-5.5145
X46.3028 Y56.4086 Z-4.9079
X44.7025 Y54.0124 Z-3.7268
X42.3298 Y50.4359 Z-1.7635
X39.2526 Y45.7798 Z1.1951
X35.6485 Y40.3513 Z5.3238
X31.7738 Y34.6248 Z10.6848
X27.9271 Y29.1482 Z17.1554
X24.4113 Y24.4113 Z24.4113
X21.4922 Y20.7271 Z31.9877
X19.3519 Y18.1780 Z39.3867
X18.0478 Y16.6454 Z46.1695
X17.4931 Y15.8889 Z52.0053
X17.4799 Y15.6332 Z56.6855
X17.7449 Y15.6342 Z60.1265
X18.0548 Y15.7180 Z62.3717
X18.2708 Y15.7902 Z63.5884
X18.3624 Y15.8226 Z64.0527
X18.3762 Y15.8275 Z64.1202
