X63.6772 Y70.2219 Z26.9590
X63.6308 Y70.1726 Z26.9786
X63.3123 Y69.8350 Z27.1145
X62.4859 Y68.9644 Z27.4799
X60.9913 Y67.4103 Z28.1890
X58.7732 Y65.1580 Z29.3626
X55.8869 Y62.3388 Z31.1248
X52.4802 Y59.2013 Z33.5849
X48.7612 Y56.0541 Z36.8038
X44.9651 Y53.1979 Z40.7589
X41.3232 Y50.8650 Z45.3201
X38.0362 Y49.1822 Z50.2550
X35.2499 Y48.1600 Z55.2621
X33.0389 Y47.7095 Z60.0210
X31.4022 Y47.6762 Z64.2430
X30.2761 Y47.8813 Z67.7104
X29.5603 Y48.1628 Z70.3032
X29.1470 Y48.4062 Z72.0137
X28.9413 Y48.5578 Z72.9465
X28.8663 Y48.6193 Z73.3035
X28.8556 Y48.6284 Z73.3555
