X16.5000 Y68.7995 Z26.6124
X16.4029 Y68.6948 Z26.4594
X15.7384 Y67.9744 Z25.4096
X14.0218 Y66.0799 Z22.6855
X10.9549 Y62.5504 Z17.7773
X6.5408 Y57.0194 Z10.6475
X1.2153 Y49.1649 Z2.0828
X-3.9648 Y38.6867 Z-5.7387
X-7.0642 Y25.5781 Z-9.2081
X-5.4153 Y11.2205 Z-5.9312
X2.3601 Y-0.1515 Z2.2631
X13.8260 Y-3.7212 Z11.9404
X25.2239 Y0.5978 Z21.1571
X34.8004 Y9.2976 Z29.3284
X42.3663 Y19.1128 Z36.3349
X48.1313 Y28.0364 Z42.0872
X52.2844 Y35.0495 Z46.4689
X54.9870 Y39.8034 Z49.4272
X56.4568 Y42.4354 Z51.0708
X57.0195 Y43.4501 Z51.7064
X57.1014 Y43.5981 Z51.7992
