X52.0536 Y70.9552 Z54.8771
X51.9294 Y70.8430 Z54.7203
X51.0830 Y70.0774 Z53.6496
X48.9240 Y68.1159 Z50.9063
X45.1413 Y64.6260 Z46.0587
X39.7786 Y59.4754 Z39.1135
X33.2079 Y52.5989 Z30.5897
X26.0809 Y43.8621 Z21.6849
X19.3523 Y33.0805 Z14.5102
X14.4004 Y20.4742 Z11.8238
X13.0378 Y7.7967 Z15.3288
X16.7299 Y-1.2427 Z23.7988
X24.9979 Y-3.9455 Z34.2763
X35.4325 Y-1.2356 Z44.5277
X45.6880 Y4.2463 Z53.5466
X54.4738 Y10.2722 Z60.9681
X61.2558 Y15.4679 Z66.6383
X65.8798 Y19.1728 Z70.5032
X68.4748 Y21.2801 Z72.6760
X69.4855 Y22.1025 Z73.5232
X69.6334 Y22.2229 Z73.6473
