X63.4592 Y25.8033 Z60.6480
X63.3386 Y25.6571 Z60.5265
X62.5146 Y24.6558 Z59.6959
X60.3908 Y22.0690 Z57.5577
X56.5843 Y17.4357 Z53.7388
X50.9530 Y10.6970 Z48.1363
X43.5215 Y2.3219 Z40.8641
X34.3964 Y-6.4813 Z32.1650
X23.8594 Y-13.3589 Z22.4137
X12.9245 Y-14.5892 Z12.4047
X4.1130 Y-7.2792 Z4.0417
X0.3410 Y6.0236 Z0.4933
X1.9921 Y19.8832 Z3.7278
X7.1281 Y31.6520 Z11.9811
X13.6264 Y41.0379 Z21.8602
X19.9676 Y48.2942 Z30.9570
X25.2086 Y53.6113 Z38.1167
X28.8863 Y57.1269 Z42.9753
X30.9658 Y59.0614 Z45.6703
X31.7757 Y59.8068 Z46.7107
X31.8942 Y59.9156 Z46.8625
