X63.4592 Y25.8033 Z60.6480
X63.4166 Y25.8220 Z60.6232
X63.1243 Y25.9515 Z60.4533
X62.3634 Y26.2958 Z60.0128
X60.9793 Y26.9495 Z59.2182
X58.9099 Y27.9965 Z58.0465
X56.1993 Y29.5060 Z56.5413
X52.9919 Y31.5220 Z54.8050
X49.5053 Y34.0488 Z52.9782
X45.9899 Y37.0371 Z51.2143
X42.6833 Y40.3780 Z49.6532
X39.7700 Y43.9094 Z48.3986
X37.3588 Y47.4345 Z47.5022
X35.4799 Y50.7490 Z46.9572
X34.0992 Y53.6684 Z46.7047
X33.1434 Y56.0539 Z46.6532
X32.5247 Y57.8311 Z46.7045
X32.1587 Y59.0003 Z46.7801
X31.9727 Y59.6368 Z46.8353
X31.9041 Y59.8802 Z46.8590
X31.8942 Y59.9156 Z46.8625
