X58.7620 Y55.0189 Z-3.6090
X58.6944 Y54.9782 Z-3.6958
X58.2256 Y54.6922 Z-4.2920
X56.9668 Y53.8938 Z-5.8415
X54.5302 Y52.2369 Z-8.6408
X50.5192 Y49.2427 Z-12.7238
X44.5592 Y44.3154 Z-17.6754
X36.4089 Y36.8898 Z-22.2976
X26.1857 Y26.8108 Z-24.0774
X14.7482 Y15.0578 Z-19.1570
X4.2015 Y4.2909 Z-5.7546
X-2.0406 Y-2.5706 Z11.4160
X-1.1648 Y-4.9518 Z26.5056
X5.8885 Y-4.3329 Z37.6019
X15.2488 Y-2.3677 Z45.0917
X23.7301 Y-0.1433 Z49.8604
X30.0239 Y1.7607 Z52.7229
X34.0292 Y3.1013 Z54.3132
X36.1450 Y3.8560 Z55.0865
X36.9405 Y4.1488 Z55.3655
X37.0556 Y4.1916 Z55.4053
