X63.8060 Y62.7243 Z74.4177
X63.8077 Y62.7282 Z74.4127
X63.8199 Y62.7550 Z74.3787
X63.8519 Y62.8258 Z74.2894
X63.9124 Y62.9578 Z74.1249
X64.0083 Y63.1640 Z73.8730
X64.1447 Y63.4516 Z73.5317
X64.3245 Y63.8216 Z73.1085
X64.5476 Y64.2683 Z72.6199
X64.8097 Y64.7791 Z72.0889
X65.1022 Y65.3342 Z71.5424
X65.4122 Y65.9084 Z71.0076
X65.7234 Y66.4728 Z70.5098
X66.0181 Y66.9979 Z70.0695
X66.2795 Y67.4571 Z69.7013
X66.4944 Y67.8305 Z69.4127
X66.6552 Y68.1077 Z69.2046
X66.7613 Y68.2896 Z69.0706
X66.8191 Y68.3885 Z68.9987
X66.8413 Y68.4263 Z68.9714
X66.8445 Y68.4318 Z68.9674
