X28.2964 Y31.6023 Z72.9001
X28.2010 Y31.5516 Z72.8559
X27.5440 Y31.2020 Z72.5465
X25.8187 Y30.2805 Z71.6947
X22.6394 Y28.5641 Z69.9669
X17.8697 Y25.9144 Z66.9267
X11.8779 Y22.3459 Z62.0285
X5.9048 Y18.1492 Z54.6859
X2.2159 Y14.0635 Z44.4698
X3.2478 Y11.4012 Z31.6042
X9.5812 Y11.8170 Z17.8692
X19.1786 Y16.2766 Z6.8007
X29.2850 Y23.8280 Z1.1876
X38.1200 Y32.1357 Z0.6686
X45.0036 Y39.2967 Z3.0726
X49.9207 Y44.5821 Z6.4135
X53.1583 Y48.0644 Z9.4699
X55.0902 Y50.1200 Z11.6794
X56.0763 Y51.1577 Z12.9363
X56.4412 Y51.5391 Z13.4257
X56.4937 Y51.5939 Z13.4973
