X28.2964 Y31.6023 Z72.9001
X28.2918 Y31.5867 Z72.8386
X28.2624 Y31.4806 Z72.4154
X28.2019 Y31.2129 Z71.3090
X28.1515 Y30.7586 Z69.2770
X28.2205 Y30.1631 Z66.1870
X28.5779 Y29.5515 Z62.0308
X29.4102 Y29.1166 Z56.9234
X30.8639 Y29.0871 Z51.0892
X32.9975 Y29.6817 Z44.8429
X35.7597 Y31.0549 Z38.5571
X38.9979 Y33.2446 Z32.6131
X42.4864 Y36.1377 Z27.3373
X45.9643 Y39.4715 Z22.9445
X49.1735 Y42.8814 Z19.5144
X51.8947 Y45.9856 Z17.0081
X53.9807 Y48.4787 Z15.3099
X55.3812 Y50.2010 Z14.2697
X56.1533 Y51.1655 Z13.7287
X56.4504 Y51.5393 Z13.5265
X56.4937 Y51.5939 Z13.4973
