X83.0243 Y-1.0464 Z35.5394
X82.9186 Y-1.1150 Z35.4098
X82.1921 Y-1.5858 Z34.5221
X80.2921 Y-2.8081 Z32.2247
X76.7963 Y-5.0118 Z28.0959
X71.4486 Y-8.2186 Z22.0574
X64.1539 Y-12.1269 Z14.4745
X54.9584 Y-15.9999 Z6.2893
X44.1022 Y-18.7364 Z-0.7652
X32.2894 Y-19.5041 Z-4.0335
X21.2056 Y-18.5643 Z-0.8067
X13.7089 Y-16.7826 Z8.8915
X12.5157 Y-14.6132 Z21.3937
X17.8038 Y-12.1600 Z33.1522
X26.8961 Y-9.5831 Z42.7817
X36.5149 Y-7.1666 Z50.1276
X44.4991 Y-5.1885 Z55.3641
X49.9910 Y-3.8091 Z58.7334
X53.0339 Y-3.0336 Z60.5510
X54.2049 Y-2.7327 Z61.2439
X54.3755 Y-2.6887 Z61.3446
