X30.2128 Y70.9213 Z0.5234
X30.2332 Y70.9198 Z0.5284
X30.3670 Y70.8979 Z0.5581
X30.6615 Y70.7479 Z0.5967
X30.9912 Y70.1154 Z0.5226
X30.9700 Y68.2442 Z0.0794
X30.0020 Y63.9581 Z-0.9894
X27.5722 Y55.8700 Z-2.5442
X23.6787 Y42.7120 Z-3.5711
X19.0800 Y23.6045 Z-2.1790
X15.1807 Y-1.2853 Z3.3614
X13.6107 Y-28.5609 Z12.9072
X15.3428 Y-50.6033 Z24.0765
X19.4095 Y-62.8472 Z34.0058
X23.1232 Y-68.0086 Z41.0546
X24.6082 Y-69.8720 Z45.1164
X24.0467 Y-70.4244 Z47.0047
X22.6716 Y-70.5060 Z47.6955
X21.5411 Y-70.4690 Z47.8872
X21.0330 Y-70.4403 Z47.9264
X20.9554 Y-70.4355 Z47.9306
