X46.3848 Y38.1758 Z-16.2727
X46.3632 Y38.1412 Z-16.3283
X46.2008 Y37.8873 Z-16.7016
X45.6639 Y37.0886 Z-17.6121
X44.2680 Y35.1337 Z-19.0470
X41.2051 Y31.0961 Z-20.5904
X35.5463 Y24.2432 Z-21.1728
X26.7428 Y15.2341 Z-18.7956
X15.1719 Y6.8974 Z-11.0661
X2.3499 Y2.2897 Z2.1887
X-9.4926 Y1.8361 Z17.5888
X-17.9426 Y3.9858 Z31.2613
X-21.9103 Y7.0316 Z41.4948
X-22.3178 Y9.9009 Z48.3125
X-20.8897 Y12.1462 Z52.4270
X-18.9693 Y13.7105 Z54.6788
X-17.2790 Y14.7073 Z55.7940
X-16.0955 Y15.2852 Z56.2936
X-15.4374 Y15.5740 Z56.4934
X-15.1846 Y15.6796 Z56.5569
X-15.1479 Y15.6947 Z56.5655
