Writing PVE Log data!
Sample Time:200
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
1.933	12.358	0.000	0.000	48.156	0.000	-0.016	23.240	0.000	0.004
2.141	12.358	0.000	0.000	48.133	0.000	0.007	23.262	0.050	0.004
2.341	12.358	0.000	0.000	48.133	0.000	0.007	23.240	0.000	0.004
2.550	12.358	0.000	0.000	48.133	0.000	-0.016	23.240	-0.030	0.004
2.758	12.358	0.000	0.000	48.156	-0.050	0.007	23.240	0.000	0.004
2.967	12.358	0.000	0.000	48.133	0.000	-0.016	23.240	-0.050	0.004
3.175	12.358	0.000	0.000	48.156	-0.050	-0.016	23.240	0.000	-0.018
3.382	12.358	0.000	0.000	48.133	0.000	0.007	23.240	0.000	0.004
3.589	12.358	0.000	0.000	48.133	0.000	0.007	23.240	0.000	0.004
3.802	12.358	0.000	0.000	48.133	0.000	0.009	23.240	0.000	0.009
4.011	12.142	-0.005	0.209	48.480	0.000	0.000	23.173	0.035	0.131
4.218	10.458	-0.050	0.069	47.033	0.000	0.011	20.640	0.000	0.180
4.424	4.476	-0.040	0.344	41.802	-0.035	-0.020	13.749	-0.060	-0.318
4.630	-2.996	-0.025	0.418	29.482	-0.080	-0.422	2.238	-0.060	0.147
4.836	-3.236	0.045	1.162	6.933	-0.161	-0.102	-0.904	0.030	0.429
5.043	13.549	0.110	1.011	-11.493	-0.035	0.022	10.107	0.050	0.344
5.249	31.722	0.055	0.891	-10.091	0.025	-0.213	22.447	0.055	0.318
5.456	41.082	0.020	1.113	-1.467	0.015	-0.736	30.100	0.030	0.293
5.664	44.104	0.025	1.593	3.300	0.030	-0.720	33.307	0.000	0.178
5.871	44.958	0.050	1.356	4.089	0.000	-0.633	33.551	0.050	0.453
6.074	44.936	0.000	1.384	4.089	0.000	-0.607	33.596	-0.050	0.411
6.276	44.980	0.000	1.340	4.044	0.000	-0.571	33.596	0.000	0.411
6.477	45.047	0.000	1.273	4.022	-0.035	-0.562	33.618	0.050	0.411
6.679	45.113	0.000	1.207	4.000	0.000	-0.540	33.640	0.000	0.367
6.881	45.136	0.000	1.184	4.000	-0.050	-0.518	33.640	0.000	0.367
7.083	45.202	0.000	1.104	3.956	0.000	-0.496	33.662	0.000	0.367
7.284	45.247	0.000	1.096	3.933	0.000	-0.473	33.662	0.000	0.344
7.486	45.291	0.000	1.029	3.911	0.000	-0.451	33.662	0.050	0.322
7.689	45.336	0.000	0.984	3.889	0.000	-0.451	33.684	0.025	0.322
7.890	45.380	0.000	0.940	3.867	0.050	-0.429	33.707	0.000	0.300
8.091	45.402	0.000	0.896	3.867	-0.025	-0.418	33.707	0.000	0.300
8.291	45.469	0.000	0.851	3.844	0.000	-0.407	33.707	0.050	0.300
8.491	45.491	0.000	0.829	3.822	0.000	-0.384	33.707	0.050	0.300
8.693	45.536	0.000	0.784	3.822	0.000	-0.362	33.729	0.000	0.278
